address,parking,type,num_schools,cost,suburb,beds,baths,cost/(beds+baths)
"B105/348 Macaulay Road, Kensington VIC 3031",0,Apartment / Unit / Flat,12,694.0,Kensington,1,1,347.0
"32 Kensington Road, Kensington VIC 3031",0,House,11,670.0,Kensington,2,1,223.33333333333334
"3201/296 Little Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,600.0,Melbourne,1,1,300.0
"2707/260 Spencer Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,600.0,Melbourne,1,1,300.0
"110/300 Swanston Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,10,600.0,Melbourne,1,1,300.0
"1008/228 La Trobe Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,600.0,Melbourne,1,1,300.0
"16 Pridham Street, Kensington VIC 3031",0,House,12,650.0,Kensington,3,1,162.5
"507/220 Spencer Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,600.0,Melbourne,1,1,300.0
"A212/348 Macaulay Road, Kensington VIC 3031",0,Apartment / Unit / Flat,12,624.0,Kensington,1,1,312.0
"125/33-47 La Trobe Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,12,600.0,Melbourne,2,1,200.0
"557 Little Lonsdale St, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,600.0,Melbourne,2,1,200.0
"1513/9-23 MacKenzie St, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,600.0,Melbourne,1,1,300.0
"2503/668 Bourke Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,9,600.0,Melbourne,1,1,300.0
"51 Rankins Road, Kensington VIC 3031",0,House,11,600.0,Kensington,2,1,200.0
"13 Wight Street, Kensington VIC 3031",0,House,11,580.0,Kensington,2,1,193.33333333333334
"B102/70 Speakmen Street, Kensington VIC 3031",1,Apartment / Unit / Flat,12,550.0,Kensington,2,2,137.5
"5 Bent Street, Kensington VIC 3031",0,House,12,560.0,Kensington,2,1,186.66666666666666
"4707/135 A'beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,600.0,Melbourne,1,1,300.0
"2/50 Rankins Road, Kensington VIC 3031",0,Apartment / Unit / Flat,11,550.0,Kensington,2,1,183.33333333333334
"1806/560 Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,600.0,Melbourne,1,1,300.0
"4307/639 Little Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,600.0,Melbourne,1,1,300.0
"509/77 Hobsons Road, Kensington VIC 3031",1,Apartment / Unit / Flat,11,550.0,Kensington,2,1,183.33333333333334
"12 Kensington Road, Kensington VIC 3031",0,House,11,550.0,Kensington,2,1,183.33333333333334
"B103/348 Macaulay Road, Kensington VIC 3031",0,Apartment / Unit / Flat,12,539.0,Kensington,1,1,269.5
"603/70 Speakmen Street, Kensington VIC 3031",1,Apartment / Unit / Flat,12,530.0,Kensington,2,2,132.5
"401/263 Franklin Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,600.0,Melbourne,2,1,200.0
"107/80 Ormond Street, Kensington VIC 3031",1,Apartment / Unit / Flat,12,500.0,Kensington,2,1,166.66666666666666
"1807B/120 A'Beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,595.0,Melbourne,1,1,297.5
"14/29 Bendall Street, Kensington VIC 3031",1,Apartment / Unit / Flat,12,500.0,Kensington,2,1,166.66666666666666
"17 Southey Street, Kensington VIC 3031",0,House,12,480.0,Kensington,2,1,160.0
"109/102 Rankins Road, Kensington VIC 3031",1,Apartment / Unit / Flat,12,460.0,Kensington,1,1,230.0
"104/465 Macaulay Road, Kensington VIC 3031",1,Apartment / Unit / Flat,12,460.0,Kensington,1,1,230.0
"1307/31 A'beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,600.0,Melbourne,2,1,200.0
"81 A'Beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,600.0,Melbourne,1,1,300.0
"204/86 Altona Street, Kensington VIC 3031",1,Apartment / Unit / Flat,11,450.0,Kensington,1,1,225.0
"1304/8 Franklin Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,600.0,Melbourne,2,1,200.0
"2006/19-37 A'Beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,600.0,Melbourne,2,1,200.0
"104/616 Little Collins Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,9,600.0,Melbourne,2,1,200.0
"316/80 Ormond Street, Kensington VIC 3031",1,Apartment / Unit / Flat,12,500.0,Kensington,2,1,166.66666666666666
"10G/71 Henry Street, Kensington VIC 3031",1,Apartment / Unit / Flat,11,450.0,Kensington,1,1,225.0
"REAR/512 Macaulay Road, Kensington VIC 3031",0,Apartment / Unit / Flat,12,400.0,Kensington,1,1,200.0
"603/255 Racecourse Rd, Kensington VIC 3031",1,Apartment / Unit / Flat,10,450.0,Kensington,1,1,225.0
"708/243 Franklin Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,600.0,Melbourne,2,1,200.0
"106/539 St Kilda Road, Melbourne VIC 3000",1,Apartment / Unit / Flat,12,600.0,Melbourne,2,2,150.0
"1210/318 Russell Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,600.0,Melbourne,1,1,300.0
"1103/442 Elizabeth Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,600.0,Melbourne,1,1,300.0
"1708/442 Elizabeth Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,600.0,Melbourne,1,1,300.0
"UNIT 904/339 SWANSTON STREET, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,597.0,Melbourne,2,1,199.0
"276 Ascot Vale Road, Ascot Vale VIC 3032",4,House,12,1500.0,Ascot Vale,3,2,300.0
"37 Moonee Street, Ascot Vale VIC 3032",2,House,12,1500.0,Ascot Vale,5,3,187.5
"38 Charles Street, Ascot Vale VIC 3032",2,House,12,1050.0,Ascot Vale,4,3,150.0
"119/88 Southbank Boulevrd, Melbourne VIC 3000",1,House,9,595.0,Melbourne,2,1,198.33333333333334
"501/285 La Trobe Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,600.0,Melbourne,2,1,200.0
"1305/135 A'Beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,600.0,Melbourne,1,1,300.0
"610/33 MacKenzie Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,595.0,Melbourne,2,1,198.33333333333334
"301/118 Franklin St, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,590.0,Melbourne,2,1,196.66666666666666
"47 Union Road, Ascot Vale VIC 3032",2,House,12,800.0,Ascot Vale,3,1,200.0
"15a Roberts St, Keilor East VIC 3033",2,Apartment / Unit / Flat,8,900.0,Keilor East,3,2,180.0
"71/140 Flinders Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,590.0,Melbourne,1,1,295.0
"708/155 Franklin Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,590.0,Melbourne,1,1,295.0
"2 Paul Ave, Keilor East VIC 3033",2,House,8,950.0,Keilor East,4,2,158.33333333333334
"805/233 Collins Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,590.0,Melbourne,2,1,196.66666666666666
"709/118 Russell Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,590.0,Melbourne,2,1,196.66666666666666
"83 Wyong St, Keilor East VIC 3033",1,Apartment / Unit / Flat,6,800.0,Keilor East,3,2,160.0
"76 South Street, Ascot Vale VIC 3032",0,House,12,750.0,Ascot Vale,3,1,187.5
"3 Mascoma Street, Ascot Vale VIC 3032",1,House,12,710.0,Ascot Vale,2,2,177.5
"4 Munro Street, Ascot Vale VIC 3032",1,House,11,700.0,Ascot Vale,2,1,233.33333333333334
"1505/318 Russell Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,590.0,Melbourne,1,1,295.0
"132 Rachelle Road, Keilor East VIC 3033",1,House,7,750.0,Keilor East,4,2,125.0
"21 Nyah St, Keilor East VIC 3033",0,House,7,750.0,Keilor East,4,2,125.0
"17 Wigton Street, Ascot Vale VIC 3032",0,House,12,695.0,Ascot Vale,3,1,173.75
"801/115 Swanston Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,585.0,Melbourne,1,1,292.5
"12 Brentwood Drive, Avondale Heights VIC 3034",2,House,12,720.0,Avondale Heights,3,1,180.0
"403/258 Flinders Ln, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,585.0,Melbourne,2,1,195.0
"2A White Street, Avondale Heights VIC 3034",2,House,12,680.0,Avondale Heights,3,2,136.0
"1111/408 Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,580.0,Melbourne,2,1,193.33333333333334
"82 North Street, Ascot Vale VIC 3032",1,House,12,680.0,Ascot Vale,3,1,170.0
"30 Bank Street, Ascot Vale VIC 3032",1,House,12,680.0,Ascot Vale,2,1,226.66666666666666
"34 Park Drive, Keilor East VIC 3033",4,House,6,730.0,Keilor East,4,2,121.66666666666667
"201/42 Roseberry Street, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,11,650.0,Ascot Vale,2,1,216.66666666666666
"31 Regent Street, Ascot Vale VIC 3032",1,House,12,695.0,Ascot Vale,3,1,173.75
"1811/250 Elizabeth Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,580.0,Melbourne,1,1,290.0
"16 Norma Court, Avondale Heights VIC 3034",5,House,10,600.0,Avondale Heights,3,1,150.0
"26 Wonganella Dr, Keilor East VIC 3033",1,House,7,630.0,Keilor East,3,1,157.5
"1/14 Ellen Ave, Keilor East VIC 3033",2,House,8,625.0,Keilor East,3,2,125.0
"54 Fawkner Crescent, Keilor East VIC 3033",3,House,7,620.0,Keilor East,3,2,124.0
"46 South Street, Ascot Vale VIC 3032",1,House,12,650.0,Ascot Vale,3,1,162.5
"6309/568 Collins Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,580.0,Melbourne,1,1,290.0
"24 Intervale Drive, Avondale Heights VIC 3034",4,House,6,560.0,Avondale Heights,3,1,140.0
"4510/568 Collins Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,580.0,Melbourne,1,1,290.0
"12 Riviera Road, Avondale Heights VIC 3034",4,House,5,560.0,Avondale Heights,3,1,140.0
"1B1B/134-160 Spencer Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,580.0,Melbourne,1,1,290.0
"181 Canning Street, Avondale Heights VIC 3034",1,House,11,550.0,Avondale Heights,3,1,137.5
"9/151 La Trobe Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,12,580.0,Melbourne,2,1,193.33333333333334
"30 Bank Street, Ascot Vale VIC 3032",1,House,12,620.0,Ascot Vale,2,1,206.66666666666666
"202/2 Mascoma Street, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,12,600.0,Ascot Vale,2,2,150.0
"110/26 Leonard Crescent, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,11,575.0,Ascot Vale,2,2,143.75
"2A Newsom Street, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,11,640.0,Ascot Vale,3,1,160.0
"90 Rosehill Road, Keilor East VIC 3033",2,Apartment / Unit / Flat,10,600.0,Keilor East,3,2,120.0
"12 Alexander Street, Avondale Heights VIC 3034",1,House,10,550.0,Avondale Heights,3,1,137.5
"4801/80 A'beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,580.0,Melbourne,1,1,290.0
"8 Canning Street, Avondale Heights VIC 3034",2,House,11,550.0,Avondale Heights,3,1,137.5
"31 Fawkner Crescent, Keilor East VIC 3033",2,House,7,600.0,Keilor East,3,1,150.0
"2/37 Quinn Grove, Keilor East VIC 3033",1,Apartment / Unit / Flat,7,550.0,Keilor East,3,2,110.0
"557 Little Lonsdale St, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,580.0,Melbourne,2,1,193.33333333333334
"11/22 Leonard Crescent, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,11,570.0,Ascot Vale,2,2,142.5
"1 Ridge Dr, Avondale Heights VIC 3034",2,House,7,530.0,Avondale Heights,3,1,132.5
"1603/11 Rose Lane, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,580.0,Melbourne,1,1,290.0
"44 Military Road, Avondale Heights VIC 3034",1,House,11,520.0,Avondale Heights,3,2,104.0
"2404/380 Little Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,580.0,Melbourne,1,1,290.0
"1901/135 A'Beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,580.0,Melbourne,1,1,290.0
"4/131 The Parade, Ascot Vale VIC 3032",2,Apartment / Unit / Flat,11,550.0,Ascot Vale,2,2,137.5
"8/67-69 Roseberry Street, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,11,490.0,Ascot Vale,2,1,163.33333333333334
"2/60 The Parade, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,11,560.0,Ascot Vale,2,1,186.66666666666666
"6 Jeffrey Street, Keilor East VIC 3033",2,House,7,525.0,Keilor East,3,1,131.25
"40 Sterling Dr, Keilor East VIC 3033",2,House,6,500.0,Keilor East,3,1,125.0
"1404A/8 Franklin Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,580.0,Melbourne,2,1,193.33333333333334
"16 Woorite Place, Keilor East VIC 3033",4,House,6,480.0,Keilor East,3,1,120.0
"Unit 1/385 Mt Alexander Rd, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,12,490.0,Ascot Vale,1,1,245.0
"180 Milleara Road, Keilor East VIC 3033",2,House,7,450.0,Keilor East,3,1,112.5
"2101/315 La Trobe Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,580.0,Melbourne,1,1,290.0
"34 Glenside Street, Avondale Heights VIC 3034",1,House,10,490.0,Avondale Heights,3,1,122.5
"14 Herbert Street St, Avondale Heights VIC 3034",2,House,11,470.0,Avondale Heights,3,1,117.5
"1509/618 Lonsdale Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,9,580.0,Melbourne,1,1,290.0
"2/12 Hanley Street, Avondale Heights VIC 3034",1,Apartment / Unit / Flat,6,470.0,Avondale Heights,2,1,156.66666666666666
"201/108 Flinders Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,580.0,Melbourne,2,1,193.33333333333334
"1011/135 A'Beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,580.0,Melbourne,2,1,193.33333333333334
"12/209 Maribyrnong Road, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,11,475.0,Ascot Vale,2,1,158.33333333333334
"10/106-116 Union Road, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,11,500.0,Ascot Vale,2,1,166.66666666666666
"14/205 Maribyrnong Road, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,11,450.0,Ascot Vale,2,1,150.0
"2/41 Quinn Grove, Keilor East VIC 3033",1,Apartment / Unit / Flat,7,450.0,Keilor East,3,1,112.5
"15 White Street, Avondale Heights VIC 3034",1,House,12,460.0,Avondale Heights,3,1,115.0
"13 Ridley Ave, Avondale Heights VIC 3034",1,House,8,450.0,Avondale Heights,3,1,112.5
"9 Noga Avenue, Keilor East VIC 3033",3,House,10,450.0,Keilor East,3,1,112.5
"5/77 Canning Street, Avondale Heights VIC 3034",1,Apartment / Unit / Flat,11,420.0,Avondale Heights,2,1,140.0
"1207/228 La Trobe Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,580.0,Melbourne,1,1,290.0
"1208/120 Abeckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,580.0,Melbourne,1,1,290.0
"2/79 Maribyrnong Road, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,11,430.0,Ascot Vale,2,1,143.33333333333334
"23A Military Road, Avondale Heights VIC 3034",0,Apartment / Unit / Flat,11,410.0,Avondale Heights,4,1,82.0
"4007/135 A'Beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,600.0,Melbourne,1,1,300.0
"23 Bordeaux Street, Avondale Heights VIC 3034",1,House,5,410.0,Avondale Heights,3,1,102.5
"1808/568 Collins Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,600.0,Melbourne,2,1,200.0
"203/299 Maribyrnong Road, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,11,420.0,Ascot Vale,1,1,210.0
"16/2 Exhibition Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,12,575.0,Melbourne,1,1,287.5
"12/39 Kent Street, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,12,340.0,Ascot Vale,1,1,170.0
"1/4 Woods Street, Ascot Vale VIC 3032",1,Apartment / Unit / Flat,11,375.0,Ascot Vale,1,1,187.5
"104/538 Little Lonsdale Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,9,575.0,Melbourne,2,1,191.66666666666666
"1614/33 Mackenzie Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,575.0,Melbourne,1,1,287.5
"3/26 Church Street, Keilor VIC 3036",2,House,5,635.0,Keilor,3,2,127.0
"33 Campaspe Cres, Keilor VIC 3036",1,House,6,420.0,Keilor,3,2,84.0
"5/60 Patterson Avenue, Keilor VIC 3036",1,House,6,510.0,Keilor,2,2,127.5
"6101/568 Collins Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,575.0,Melbourne,1,1,287.5
"506/5 Sutherland Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,575.0,Melbourne,2,1,191.66666666666666
"116/318 Little Bourke Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,575.0,Melbourne,2,1,191.66666666666666
"703/455 Elizabeth Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,575.0,Melbourne,2,1,191.66666666666666
"705/253 Franklin Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,575.0,Melbourne,2,1,191.66666666666666
"1707/534 Flinders Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,8,570.0,Melbourne,2,1,190.0
"807/380 Little Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,570.0,Melbourne,2,1,190.0
"706/325 Collins Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,575.0,Melbourne,2,1,191.66666666666666
"5/165 Bourke Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,570.0,Melbourne,2,1,190.0
"308/39 Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,13,575.0,Melbourne,2,1,191.66666666666666
"706/87 Franklin Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,11,570.0,Melbourne,1,1,285.0
"5208/500 Elizabeth Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,570.0,Melbourne,1,1,285.0
"402/253 Franklin Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,570.0,Melbourne,2,1,190.0
"607/25 Therry Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,570.0,Melbourne,2,1,190.0
"1206/33 Mackenzie Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,570.0,Melbourne,1,1,285.0
"804/225 Elizabeth Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,570.0,Melbourne,2,1,190.0
"2407/557 Little Lonsdale St, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,570.0,Melbourne,2,1,190.0
"103/604 St Kilda Road, Melbourne VIC 3000",1,Apartment / Unit / Flat,11,560.0,Melbourne,1,1,280.0
"4410/601 Little Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,560.0,Melbourne,1,1,280.0
"1104/422 Collins Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,560.0,Melbourne,2,1,186.66666666666666
"2412/33 Mackenzie street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,560.0,Melbourne,1,1,280.0
"10/668 Bourke Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,560.0,Melbourne,1,1,280.0
"Unit 63/394 Collins Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,559.0,Melbourne,1,1,279.5
"201/36 La Trobe Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,560.0,Melbourne,1,1,280.0
"313/106 A'Beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,550.0,Melbourne,2,1,183.33333333333334
"1803/601 Little Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,550.0,Melbourne,1,1,275.0
"201/455 Elizabeth Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,550.0,Melbourne,2,1,183.33333333333334
"606/39 Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,13,550.0,Melbourne,2,1,183.33333333333334
"6106/568 Collins Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,550.0,Melbourne,1,2,183.33333333333334
"1816/220 Spencer Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,550.0,Melbourne,1,1,275.0
"505/639 Little Bourke Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,550.0,Melbourne,2,1,183.33333333333334
"4713/80 A'Beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,550.0,Melbourne,1,1,275.0
"2204/141 La Trobe Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,550.0,Melbourne,1,1,275.0
"2402/8 Downie Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,8,550.0,Melbourne,2,1,183.33333333333334
"1706/601 Little Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,550.0,Melbourne,1,1,275.0
"205/557 Little Lonsdale St, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,550.0,Melbourne,2,1,183.33333333333334
"105/11 Rose Lane, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,550.0,Melbourne,2,1,183.33333333333334
"1404/31 A'beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,550.0,Melbourne,2,1,183.33333333333334
"813/339 Swanston Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,550.0,Melbourne,2,1,183.33333333333334
"2203/601 Little Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,550.0,Melbourne,1,1,275.0
"702/141-149 La Trobe Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,550.0,Melbourne,1,1,275.0
"3014/9 Power Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,9,550.0,Melbourne,1,1,275.0
"10 Butler Street, Essendon VIC 3040",2,House,11,900.0,Essendon,4,2,150.0
"22 Florence Street, Essendon VIC 3040",2,House,11,900.0,Essendon,3,2,180.0
"12 Riverview Road, Essendon VIC 3040",4,House,11,2280.0,Essendon,5,2,325.7142857142857
"2711/31 A'beckett Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,550.0,Melbourne,1,1,275.0
"314/300 Swanston Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,10,550.0,Melbourne,1,1,275.0
"2114/33 Mackenzie Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,550.0,Melbourne,1,1,275.0
"2601/288 Spencer Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,550.0,Melbourne,1,1,275.0
"1412/25 Therry Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,550.0,Melbourne,2,1,183.33333333333334
"118 Deakin St, Essendon VIC 3040",3,House,10,890.0,Essendon,4,2,148.33333333333334
"4008/500 Elizabeth Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,550.0,Melbourne,1,1,275.0
"39 Grice Crescent, Essendon VIC 3040",3,House,11,785.0,Essendon,4,1,157.0
"75 Carrick Drive, Gladstone Park VIC 3043",2,House,4,680.0,Gladstone Park,4,2,113.33333333333333
"3 Wolverton Drive, Gladstone Park VIC 3043",1,House,4,550.0,Gladstone Park,3,1,137.5
"2003/639 Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,550.0,Melbourne,1,1,275.0
"105 Lenoak Street, Gladstone Park VIC 3043",2,House,7,620.0,Gladstone Park,4,2,103.33333333333333
"4006/601 Little Lonsdale Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,550.0,Melbourne,1,1,275.0
"1005/483 Swanston Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,11,550.0,Melbourne,1,1,275.0
"24 Laluma Street, Essendon VIC 3040",2,House,11,750.0,Essendon,3,2,150.0
"18 Albion Street, Essendon VIC 3040",1,House,11,750.0,Essendon,3,1,187.5
"1001/23 Mackenzie Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,550.0,Melbourne,1,1,275.0
"6 Kalimna Street, Essendon VIC 3040",2,House,11,720.0,Essendon,3,2,144.0
"2603/23 Mackenzie Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,550.0,Melbourne,1,1,275.0
"6 Peel Court, Gladstone Park VIC 3043",0,House,4,510.0,Gladstone Park,3,1,127.5
"4 Osborne Avenue, Gladstone Park VIC 3043",2,House,3,550.0,Gladstone Park,3,1,137.5
"68 Lenoak Street, Gladstone Park VIC 3043",1,House,4,531.0,Gladstone Park,3,1,132.75
"45 South Circular Road, Gladstone Park VIC 3043",1,House,3,480.0,Gladstone Park,3,1,120.0
"1112/7 Katherine Place, Melbourne VIC 3000",0,Apartment / Unit / Flat,8,550.0,Melbourne,1,1,275.0
"609/25 Wills Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,550.0,Melbourne,1,1,275.0
"35/131 La Trobe Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,12,550.0,Melbourne,1,1,275.0
"123 Rose Street, Essendon VIC 3040",3,House,11,700.0,Essendon,4,1,140.0
"309/118 Russell St, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,550.0,Melbourne,1,1,275.0
"508/155 Bourke Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,550.0,Melbourne,1,1,275.0
"2/20 Annandale Road, Tullamarine VIC 3043",2,Apartment / Unit / Flat,1,1300.0,Tullamarine,2,2,325.0
"3 Wright St, Essendon VIC 3040",1,House,11,660.0,Essendon,3,1,165.0
"3/20 Annandale Road, Tullamarine VIC 3043",2,Apartment / Unit / Flat,1,1500.0,Tullamarine,3,2,300.0
"1102/22 Coromandel Place, Melbourne VIC 3000",0,Apartment / Unit / Flat,10,550.0,Melbourne,2,1,183.33333333333334
"1710/668 Burke Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,9,545.0,Melbourne,1,1,272.5
"1/60 Deakin Street, Essendon VIC 3040",2,Apartment / Unit / Flat,11,650.0,Essendon,3,1,162.5
"1/60 Deakin Street, Essendon VIC 3040",2,Apartment / Unit / Flat,11,650.0,Essendon,3,1,162.5
"6001/568 Collins Street, Melbourne VIC 3000",0,Apartment / Unit / Flat,9,550.0,Melbourne,1,1,275.0
"7/101 Woodland Street, Essendon VIC 3040",1,Apartment / Unit / Flat,11,600.0,Essendon,2,1,200.0
"317/300 Swanston Street, Melbourne VIC 3000",1,Apartment / Unit / Flat,10,540.0,Melbourne,1,1,270.0
"Unit 2207/39 Lonsdale St, Melbourne VIC 3000",0,Apartment / Unit / Flat,13,540.0,Melbourne,2,1,180.0
"44 Parkstone Avenue, Pascoe Vale South VIC 3044",7,House,12,850.0,Pascoe Vale South,4,2,141.66666666666666
"77 Balmoral Avenue, Pascoe Vale South VIC 3044",3,House,12,795.0,Pascoe Vale South,3,2,159.0
"36 Parkstone Avenue, Pascoe Vale South VIC 3044",2,House,12,850.0,Pascoe Vale South,5,3,106.25
"58 Melrose Drive, Tullamarine VIC 3043",4,House,4,600.0,Tullamarine,3,1,150.0
"109/55 Collins St, Essendon VIC 3040",1,Apartment / Unit / Flat,11,590.0,Essendon,2,2,147.5
