address,parking,type,num_schools,cost,suburb,beds,baths,cost/(beds+baths)
"1002/408 Spencer Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,790.0,West Melbourne,2,2,197.5
"3/77 Gipps St, East Melbourne VIC 3002",0,Apartment / Unit / Flat,12,490.0,East Melbourne,2,1,163.33333333333334
"100/451 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,875.0,Melbourne,1,1,437.5
"206/150 Dudley Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,788.0,West Melbourne,1,1,394.0
"86 Hotham Street, East Melbourne VIC 3002",1,Apartment / Unit / Flat,12,475.0,East Melbourne,1,1,237.5
"1211/23 Batman Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,780.0,West Melbourne,2,2,195.0
"11/161 Wellington Parade South, East Melbourne VIC 3002",0,Apartment / Unit / Flat,14,475.0,East Melbourne,1,1,237.5
"3/19 Albert Street, East Melbourne VIC 3002",0,Apartment / Unit / Flat,12,475.0,East Melbourne,1,1,237.5
"903/582 St Kilda Road, Melbourne VIC 3004",2,Apartment / Unit / Flat,11,850.0,Melbourne,2,2,212.5
"3/66 Simpson St, East Melbourne VIC 3002",0,Apartment / Unit / Flat,13,475.0,East Melbourne,1,1,237.5
"506/14 Queens Road, Melbourne VIC 3004",0,Apartment / Unit / Flat,12,850.0,Melbourne,2,2,212.5
"199 Adderley Street, West Melbourne VIC 3003",0,House,9,780.0,West Melbourne,2,1,260.0
"401/5 Wominjeka Walk, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,780.0,West Melbourne,2,2,195.0
"UNIT 1401/576-578 ST KILDA ROAD, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,820.0,Melbourne,1,1,410.0
"G01/279 Wellington Parade, East Melbourne VIC 3002",1,Apartment / Unit / Flat,12,460.0,East Melbourne,1,1,230.0
"503/10 Wominjeka Walk, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,760.0,West Melbourne,2,2,190.0
"1005/605 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,800.0,Melbourne,2,2,200.0
"45 Dudley Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,750.0,West Melbourne,2,2,187.5
"17/246 Albert Street, East Melbourne VIC 3002",0,Apartment / Unit / Flat,13,450.0,East Melbourne,1,1,225.0
"1703/23 Batman Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,750.0,West Melbourne,2,2,187.5
"20/29-35 George Street, East Melbourne VIC 3002",0,Apartment / Unit / Flat,13,450.0,East Melbourne,1,1,225.0
"5416/228 La Trobe Street, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,800.0,Melbourne,2,2,200.0
"8/129 Grey Street, East Melbourne VIC 3002",0,Apartment / Unit / Flat,12,450.0,East Melbourne,1,1,225.0
"209/25 Hotham Street, East Melbourne VIC 3002",0,Apartment / Unit / Flat,13,330.0,East Melbourne,1,1,165.0
"104/598 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,800.0,Melbourne,3,2,160.0
"916/35 Albert Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,800.0,Melbourne,2,2,200.0
"1303/14 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,795.0,Melbourne,1,1,397.5
"1006/408 Spencer Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,750.0,West Melbourne,2,2,187.5
"506/105 Batman Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,740.0,West Melbourne,2,2,185.0
"36/632 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,780.0,Melbourne,3,2,156.0
"303/25 Wominjeka Walk, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,720.0,West Melbourne,2,1,240.0
"314/121 Rosslyn Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,750.0,West Melbourne,2,2,187.5
"1307/408 Spencer Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,740.0,West Melbourne,2,1,246.66666666666666
"1304/14 Queens Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,780.0,Melbourne,1,1,390.0
"1016/555 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,800.0,Melbourne,2,2,200.0
"301/605 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,760.0,Melbourne,2,2,190.0
"704/408 Spencer Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,720.0,West Melbourne,2,1,240.0
"1020/555 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,750.0,Melbourne,2,2,187.5
"216/288 Adderley Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,10,720.0,West Melbourne,2,1,240.0
"45 Dudley St, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,700.0,West Melbourne,2,2,175.0
"133 Rosslyn Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,700.0,West Melbourne,1,1,350.0
"1104/408 Spencer Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,720.0,West Melbourne,2,1,240.0
"609/555 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,750.0,Melbourne,2,2,187.5
"7/60 Flinders Street, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,750.0,Melbourne,2,2,187.5
"409/65 Dudley Street, West Melbourne VIC 3003",1,Apartment / Unit / Flat,9,700.0,West Melbourne,2,2,175.0
"53/416 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,750.0,Melbourne,3,2,150.0
"112/605 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,11,730.0,Melbourne,2,2,182.5
"2803/420 Spencer Street, West Melbourne VIC 3003",0,Apartment / Unit / Flat,9,700.0,West Melbourne,2,2,175.0
"120/555 St Kilda Road, Melbourne VIC 3004",1,Apartment / Unit / Flat,12,730.0,Melbourne,2,2,182.5
