,SA2_Name,livability,affordability,total_score
0,Truganina - North,0.8662187379241322,0.9989067127617787,1.8651254506859107
1,Tarneit - North,0.8457637048322706,0.9770134445298811,1.8227771493621518
2,Whittlesea,0.8232183036780815,0.9923257691940846,1.8155440728721661
3,Mickleham - Yuroke,0.8309498626724241,0.9791563622886099,1.810106224961034
4,Rockbank - Mount Cottrell,0.8227938241656237,0.9789308853013446,1.8017247094669684
5,Werribee - East,0.8326528852308597,0.9067853107054996,1.7394381959363594
6,Wallan,0.753524111697957,0.9800989193752098,1.7336230310731668
7,Manor Lakes - Quandong,0.725146773353025,0.9990703190574305,1.7242170924104556
8,Clyde North - South,0.7105679506574758,0.9473702494621071,1.6579382001195828
9,Doncaster,0.9632907210231741,0.5473339633375467,1.510624684360721
10,Frankston,0.8119310247996361,0.6614396363476965,1.4733706611473325
11,Barwon Heads - Armstrong Creek,0.3735134528990449,0.9627044874803843,1.3362179403794292
12,Alfredton,0.32565984978459617,0.9642259067653944,1.2898857565499906
13,Geelong West - Hamlyn Heights,0.5767596191250512,0.7076579760852731,1.2844175952103245
14,Melton South - Weir Views,0.309975063401274,0.9489445317475103,1.2589195951487842
15,Geelong,0.5813723385161147,0.642470489241231,1.2238428277573457
16,Footscray,0.9940859452011606,0.22382924617255773,1.2179151913737183
17,Hawthorn East,0.9836023728040998,0.21333783032631803,1.196940203130418
18,Carnegie,0.9856277274840147,0.19519319181362982,1.1808209192976444
19,Malvern East,0.9809589715043413,0.1934153217182566,1.174374293222598
20,Elwood,0.9872197010023143,0.18695929453740123,1.1741789955397155
21,Malvern - Glen Iris,0.987020828020056,0.18578214728087938,1.1728029753009355
22,St Kilda East,0.9889581274929529,0.18169427373200442,1.1706524012249573
23,Ormond - Glen Huntly,0.7033910524626104,0.46334746078472744,1.1667385132473378
24,Caulfield - North,0.9915994501058624,0.1500419548304377,1.1416414049363
25,South Yarra - South,0.9884685578279702,0.1409099197632926,1.1293784775912628
26,Point Nepean,0.4905576504696977,0.6376728586761702,1.128230509145868
27,Prahran - Windsor,0.9867269288114607,0.13643486211308153,1.1231617909245424
28,St Kilda - Central,0.9878149075823597,0.13367355941471226,1.121488466997072
29,South Yarra - West,0.9912110585584453,0.12625306053976804,1.1174641190982133
30,South Yarra - North,0.9905573310126656,0.11619298439536685,1.1067503154080325
31,St Kilda - West,0.9843115977838304,0.118969505141298,1.1032811029251284
32,Fraser Rise - Plumpton,0.09565186959968797,1.0,1.095651869599688
33,Melbourne CBD - East,0.9989998136753496,0.07771903591664597,1.0767188495919955
34,North Melbourne,0.9987352845318526,0.061165225915685184,1.0599005104475379
35,Southbank - East,1.0000000000000002,0.057853105718887576,1.0578531057188878
36,West Melbourne - Residential,0.9958686001478614,0.05406411186181437,1.0499327120096758
37,Southbank (West) - South Wharf,0.999272133228398,0.043936208590126036,1.043208341818524
38,South Melbourne,0.9950840902373966,0.03808210522987987,1.0331661954672766
39,Melbourne CBD - North,0.9982469826910445,0.029513992852697513,1.027760975543742
40,Albert Park,0.9910237203853212,0.03173030204439464,1.0227540224297158
41,Docklands,0.9945837531898472,0.027963144919113114,1.0225468981089603
42,Richmond - North,0.9946449953263468,0.017642249747916727,1.0122872450742635
43,Carlton,0.9984025395672645,0.007600941040071918,1.0060034806073364
44,Melbourne CBD - West,0.9971209512509581,0.0,0.9971209512509581
45,Bendigo,0.20374866770747857,0.7337994180094141,0.9375480857168926
46,Shepparton - North,0.0,0.765893514389168,0.765893514389168
